,Boca de entrega,Artículo@LITM,Artículo@Descripcion,Nº Orden@Tipo Documento,Nº Orden@Nro. Documento,Cajas Solicitadas,Pallets Solicitados
0,357270,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",SD,663322,20.0,0.076923
1,357270,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",SD,663322,144.0,1.0
2,274749,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",SD,175930,180.0,3.0
3,274749,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",SD,175930,84.0,1.166667
4,274749,6040100009,"KET,NATURA,12,500 G,DP,CT,ESP,M.I.                ",SD,663893,18.0,0.125
5,274749,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",SD,663893,20.0,0.076923
6,274749,6030040040,"MAYO,MAYOLIVA,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M",SD,663838,19.0,0.073077
7,274749,6030040007,"MAYO,MAYOLIVA,L.G,12,500 CC,DP,CT,ESP,M.I./ARL    ",SD,663838,14.0,0.097222
8,274749,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",SD,663838,40.0,0.153846
9,274749,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",SD,663838,36.0,0.25
10,274749,6030010208,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA)",SD,663838,16.0,0.2
11,274749,6030010026,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./A",SD,663838,54.0,0.5
12,274749,6090020011,"MOSTAZA,ADEREZO NATURA,12,500 G,DP,CT,ESP,M.I.    ",SD,663838,18.0,0.125
13,279534,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",SD,175936,216.0,3.6
14,346100,6011270001,"AC,COPISI,GIR/OLIVA,12X500ML,B,ESP,M.I./ARL       ",SD,175890,5.0,0.034722
15,346100,6011270002,"AC,COPISI,GIR/OLIVA,12X900ML,B,ESP,M.I./ARL       ",SD,175890,5.0,0.047619
16,346100,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",SD,175890,50.0,0.833333
17,346100,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",SD,175890,72.0,1.0
18,346100,6010010008,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL                 ",SD,175890,100.0,2.0
19,346100,6011570001,"AC,NATURA,GIR/OLIVA,15X900ML,C,ESP,M.I.           ",SD,175890,5.0,0.069444
20,225582,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",SD,175942,288.0,4.0
21,258285,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",SD,663878,50.0,0.192308
22,258285,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",SD,663879,10.0,0.038462
23,316509,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",SD,663844,10.0,0.038462
24,316509,6030050071,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO ",SD,663844,10.0,0.069444
25,316509,6030050071,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO ",SD,663846,10.0,0.069444
26,316509,6030050072,"MAYO,CADA DIA,RVL,8,1000 CC,L.G,DP,CT,ESP,MERCADO ",SD,663844,2.0,0.018519
27,316509,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",SD,663844,320.0,1.230769
28,316509,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",SD,663845,80.0,0.307692
29,316509,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",SD,663846,180.0,0.692308
30,316509,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",SD,663846,18.0,0.125
31,316509,6030010170,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA)",SD,663844,272.0,1.0
32,316509,6030010170,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA)",SD,663845,102.0,0.375
33,316509,6030010170,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA)",SD,663846,136.0,0.5
